                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     44,                0.74607,                 0.3688,                0.54762,                  1.052,                0.97875,                0.47491,                0.49481,                0.41726,                0.98314,                0.47342,                0.49621,                0.40521,                0.66842,                0.38624,                0.38148,                 1.0802,               0.005743,               0.005743,               0.005743
                     45,                 0.7464,                0.37926,                 0.5467,                 1.0488,                0.98381,                0.46616,                 0.5005,                0.42689,                0.98579,                0.46808,                 0.5028,                0.41177,                0.64544,                  0.378,                0.37965,                 1.0631,               0.005644,               0.005644,               0.005644
                     46,                0.74199,                0.37296,                0.54244,                 1.0506,                0.97955,                0.46528,                0.49455,                0.42282,                0.97821,                  0.471,                0.49692,                0.40989,                 0.6459,                0.37713,                 0.3927,                 1.0585,               0.005545,               0.005545,               0.005545
                     47,                0.74266,                0.37322,                0.53242,                 1.0553,                0.98238,                0.47299,                0.49611,                0.42278,                0.98419,                0.47472,                0.49667,                0.40908,                0.64587,                0.37598,                0.36711,                 1.0607,               0.005446,               0.005446,               0.005446
                     48,                0.73307,                0.36633,                0.54065,                  1.045,                0.98164,                0.46462,                0.49706,                0.42374,                0.98123,                0.46647,                0.49845,                0.40971,                0.63997,                0.37871,                0.38341,                  1.056,               0.005347,               0.005347,               0.005347
                     49,                0.73565,                0.36407,                0.52648,                  1.046,                0.97961,                 0.4669,                0.49182,                0.41904,                0.97868,                0.47103,                0.49245,                 0.4058,                0.64982,                0.37939,                0.39102,                 1.0681,               0.005248,               0.005248,               0.005248
                     50,                0.73041,                0.36272,                0.53502,                 1.0441,                0.97291,                0.47475,                0.49831,                0.42374,                0.97452,                0.47784,                0.50143,                0.41277,                0.64878,                0.37775,                0.37624,                 1.0678,               0.005149,               0.005149,               0.005149
                     51,                0.72832,                0.36159,                0.51245,                 1.0403,                0.97816,                0.47009,                0.50191,                0.43149,                0.97924,                0.47247,                0.50306,                0.41615,                0.64271,                0.37814,                0.37354,                 1.0589,                0.00505,                0.00505,                0.00505
                     52,                0.72789,                0.35951,                0.52328,                 1.0395,                0.98048,                0.47039,                0.51078,                 0.4381,                0.98203,                0.47165,                0.51169,                0.42367,                0.63332,                0.37149,                0.36782,                 1.0565,               0.004951,               0.004951,               0.004951
                     53,                0.72344,                0.35414,                0.51516,                 1.0385,                0.97866,                 0.4737,                0.50366,                0.43028,                 0.9804,                0.47616,                0.50465,                 0.4166,                0.63637,                0.37291,                 0.3643,                 1.0514,               0.004852,               0.004852,               0.004852
                     54,                0.72632,                0.35951,                0.50734,                 1.0363,                0.97888,                0.46983,                0.49893,                 0.4273,                0.97896,                0.47145,                0.50042,                0.41244,                0.62843,                0.37508,                0.37673,                 1.0474,               0.004753,               0.004753,               0.004753
                     55,                0.72076,                0.35713,                0.50711,                 1.0388,                0.98386,                0.47094,                0.50627,                0.43453,                0.98458,                0.47365,                0.50792,                0.42017,                0.63656,                0.37395,                  0.357,                  1.053,               0.004654,               0.004654,               0.004654
                     56,                0.71185,                0.35694,                0.49437,                 1.0309,                 0.9794,                0.46716,                0.50012,                0.42806,                0.98124,                0.46938,                0.50147,                0.41436,                0.63626,                0.37541,                0.37435,                 1.0557,               0.004555,               0.004555,               0.004555
                     57,                0.71759,                0.35094,                0.50015,                 1.0323,                0.98272,                0.46938,                0.52354,                0.44841,                0.98404,                0.47056,                0.52632,                0.43554,                0.63173,                0.36918,                0.36048,                 1.0469,               0.004456,               0.004456,               0.004456
                     58,                0.71065,                0.35108,                0.48915,                 1.0308,                0.97923,                0.46893,                0.51577,                0.43584,                0.98005,                0.47053,                0.51717,                0.42217,                0.63277,                0.37155,                0.36176,                 1.0498,               0.004357,               0.004357,               0.004357
                     59,                0.69879,                0.34965,                0.48284,                 1.0276,                0.98156,                0.46805,                0.50307,                 0.4311,                 0.9819,                0.46997,                0.50375,                0.41771,                0.63078,                  0.368,                0.36556,                 1.0447,               0.004258,               0.004258,               0.004258
                     60,                0.71035,                0.35112,                0.49312,                 1.0306,                0.98109,                0.47171,                0.49859,                0.42912,                0.98292,                0.47293,                0.49948,                0.41526,                0.62801,                0.36879,                0.34965,                 1.0408,               0.004159,               0.004159,               0.004159
                     61,                0.70789,                0.34843,                0.48976,                 1.0229,                0.97856,                0.47556,                0.50191,                0.43059,                0.98047,                0.47704,                0.50252,                 0.4165,                0.63253,                0.36989,                0.34559,                 1.0475,                0.00406,                0.00406,                0.00406
